[319.20166  344.39893  -15.541776],[318.677    353.44922  -12.088048],[318.30225  359.91376  -10.361184],[317.62772  371.5498   -12.088048],[310.15137  343.87427  -14.678344],[302.24408  346.01038  -12.088048],[296.84763 349.58926  -8.63432],[291.30127    355.75397     -0.86343193],[295.18      355.97882    -1.7268639],[303.08728  353.8427    -6.907456],[307.04092  352.77466   -9.497752],[313.50543  353.1494   -11.224616],[308.57742  371.02515  -11.224616],[311.83777  359.539     -9.497752],[301.56952  357.64648   -6.044024],[296.0981   362.51825   -6.907456],[298.98373  357.49658   -3.453728],[292.36932  359.70764   -3.453728],[306.74112  357.9463    -7.770888],[300.9699   367.9897    -9.497752],[292.74408   353.2431     -4.3171597],[299.2086    353.61786    -4.3171597],[328.25198  344.92358  -14.678344],[337.15237 348.03406 -12.95148],[342.09912  352.21252   -9.497752],[348.18884   359.05182    -1.7268639],[344.3851   357.53406   -3.453728],[335.4847   354.42358   -7.770888],[331.60602  354.19873   -9.497752],[325.14154  353.82397  -11.224616],[326.67804  372.07446  -12.088048],[326.05966  360.36343  -10.361184],[337.7707   359.7451    -6.907456],[341.3496   365.14154   -7.770888],[340.43146  358.6021    -5.180592],[345.3782    362.7806     -4.3171597],[332.59912 359.44528  -8.63432],[334.66028  368.64548  -10.361184],[345.8279   355.0232    -6.044024],[340.58136  356.0163    -5.180592]
[319.20166  344.39893  -15.541776],[318.677    353.44922  -12.088048],[318.30225  359.91376  -11.224616],[317.62772 371.5498  -12.95148],[310.15137  343.87427  -15.541776],[302.24408  346.01038  -12.088048],[296.84763 349.58926  -8.63432],[290.00836   355.67902    -1.7268639],[295.18      355.97882    -2.5902958],[301.79437  353.76776   -7.770888],[307.04092  352.77466   -9.497752],[312.21252  353.07446  -11.224616],[308.57742  371.02515  -12.088048],[311.83777  359.539    -10.361184],[301.56952  357.64648   -6.907456],[296.0981   362.51825   -7.770888],[297.69083   357.42163    -4.3171597],[292.36932   359.70764    -4.3171597],[305.44824 357.87134  -8.63432],[300.9699   367.9897   -10.361184],[292.74408  353.2431    -5.180592],[299.2086   353.61786   -5.180592],[328.25198  344.92358  -15.541776],[337.15237 348.03406 -12.95148],[342.09912  352.21252   -9.497752],[348.18884   359.05182    -2.5902958],[344.31015  358.82697   -3.453728],[335.40976  355.7165    -7.770888],[331.60602  354.19873  -10.361184],[325.14154  353.82397  -12.088048],[326.67804  372.07446  -12.088048],[326.05966  360.36343  -10.361184],[336.4778   359.67014   -6.907456],[341.3496   365.14154   -7.770888],[340.3565   359.895     -5.180592],[345.3782   362.7806    -5.180592],[332.59912  359.44528   -9.497752],[334.66028  368.64548  -10.361184],[345.8279   355.0232    -6.044024],[340.58136  356.0163    -5.180592]
[319.67554  346.60062  -16.405209],[319.15088 355.25745 -12.95148],[318.70117  362.67755  -11.224616],[318.0266  373.80774 -12.95148],[309.857    344.76434  -15.541776],[300.97534  347.94974  -12.088048],[295.87872 350.1233   -8.63432],[289.24557    357.16867     -0.86343193],[294.26727   356.23178    -2.5902958],[301.83728  354.20813   -7.770888],[306.78403  354.50793   -9.497752],[313.04242  353.646    -12.088048],[308.2081   371.97144  -12.088048],[311.35602  360.99115  -10.361184],[300.30078  359.0799    -6.907456],[295.05426  363.72687   -7.770888],[297.90237   357.69333    -4.3171597],[291.56903   359.79193    -4.3171597],[305.17258 360.6164   -8.63432],[300.93787  369.04834  -10.361184],[291.9438    353.60852    -4.3171597],[298.05228   355.21997    -4.3171597],[328.4073   345.88858  -15.541776],[336.91418 348.8866  -12.95148],[342.79782  354.20813   -9.497752],[348.6065    360.7663     -2.5902958],[344.9714   359.30475   -3.453728],[336.46448  356.30673   -7.770888],[331.51776  356.00693  -10.361184],[325.40927  354.39548  -12.088048],[326.7584  373.0957  -12.95148],[326.1963   361.89056  -10.361184],[337.4014   361.32843   -6.907456],[342.04834  366.57498   -7.770888],[341.11145  361.55328   -5.180592],[345.9083   364.32648   -5.180592],[332.3797   362.26532   -9.497752],[335.5651   371.14697  -10.361184],[346.35797  356.90634   -6.044024],[340.0996   357.76828   -5.180592]
[318.43884  346.52567  -15.541776],[317.9142   355.1825   -12.088048],[317.4645   362.6026   -10.361184],[316.78995  373.7328   -12.088048],[309.857    344.76434  -14.678344],[299.73865  347.8748   -12.088048],[294.64203  350.04834   -7.770888],[2.8808383e+02 3.5585703e+02 5.9604645e-08],[293.03058   356.15683    -1.7268639],[300.6006   354.13318   -6.907456],[305.54733  354.43298   -9.497752],[311.80573  353.57104  -11.224616],[306.89645  373.13318  -11.224616],[310.11932  360.9162    -9.497752],[299.0641   359.00494   -6.044024],[293.81757  363.65192   -6.907456],[296.66568  357.61838   -3.453728],[290.33234   359.71698    -2.5902958],[303.9359   360.54144   -7.770888],[299.7012   368.9734    -9.497752],[290.7071   353.53357   -3.453728],[296.89053  353.90833   -3.453728],[327.17062  345.81363  -15.541776],[336.91418 348.8866  -12.95148],[342.87277  352.97144   -9.497752],[348.68146    359.5296      -0.86343193],[344.9714    359.30475    -2.5902958],[336.46448  356.30673   -7.770888],[331.51776  356.00693   -9.497752],[325.33432  355.63217  -11.224616],[326.7584   373.0957   -12.088048],[324.9596   361.8156   -10.361184],[337.4014   361.32843   -6.044024],[342.04834  366.57498   -6.907456],[341.1864    360.3166     -4.3171597],[345.98325  363.08978   -3.453728],[332.3797  362.26532  -8.63432],[334.32843  371.07202   -9.497752],[346.43292  355.66965   -5.180592],[340.17456   356.5316     -4.3171597]
[320.2697   348.3526   -14.678344],[319.82     356.11     -11.224616],[319.5202   361.28162  -10.361184],[318.84567  372.91766  -11.224616],[311.29437  346.53503  -14.678344],[302.01923  349.88907  -11.224616],[296.69772  352.17505   -7.770888],[291.15137    358.33978     -0.86343193],[295.10504   357.27173    -1.7268639],[302.93738  356.42853   -6.907456],[308.18393 355.43542  -8.63432],[313.35553  355.73523  -10.361184],[309.79538  372.393    -11.224616],[313.05573  360.90686   -9.497752],[301.49457  358.9394    -6.044024],[297.24112  365.17902   -6.907456],[298.90878  358.7895    -3.453728],[293.58728  361.07547   -3.453728],[306.59122  360.5321    -7.770888],[302.18787  369.35754   -9.497752],[292.66913   354.536      -4.3171597],[299.0587    356.20367    -4.3171597],[328.10208  347.5094   -14.678344],[337.00247  350.61984  -12.088048],[341.94922 354.79834  -8.63432],[348.1139    360.3447     -1.7268639],[344.2352    360.11984    -2.5902958],[336.62772  357.08435   -6.907456],[331.45612  356.78455   -9.497752],[326.28452  356.48474  -10.361184],[327.896    373.44232  -11.224616],[325.9847   361.65634   -9.497752],[337.69574  361.038     -6.044024],[341.27466  366.43445   -6.907456],[341.57446   361.26285    -4.3171597],[345.30328   364.0735     -4.3171597],[332.52417 360.7382   -8.63432],[335.87823  370.01334   -9.497752],[345.678    357.609     -5.180592],[340.43146   358.6021     -4.3171597]
[318.9768   348.27765  -14.678344],[318.45215  357.32794  -11.224616],[318.15234  362.49954   -9.497752],[317.40286  375.42853  -10.361184],[310.00146  346.46008  -13.814912],[302.01923  349.88907  -11.224616],[296.69772  352.17505   -7.770888],[2.8985846e+02 3.5826483e+02 5.9604645e-08],[295.0301     358.56464     -0.86343193],[301.64447  356.35358   -6.044024],[306.81607 356.65338  -8.63432],[312.06262  355.66028  -10.361184],[308.42752  373.61096  -10.361184],[311.68787 362.1248   -8.63432],[301.41962  360.2323    -5.180592],[295.87326  366.39697   -6.044024],[297.54092   360.00745    -2.5902958],[292.21942   362.2934     -2.5902958],[305.2234   361.75003   -6.907456],[300.82     370.57544   -7.770888],[292.59418  355.82892   -3.453728],[299.0587   356.20367   -3.453728],[328.10208  347.5094   -14.678344],[337.00247  350.61984  -12.088048],[341.94922 354.79834  -8.63432],[348.03894    361.6376      -0.86343193],[344.2352    360.11984    -2.5902958],[335.25986  358.3023    -6.907456],[331.45612 356.78455  -8.63432],[324.99164  356.4098   -10.361184],[326.52814  374.66028  -10.361184],[325.9098   362.94922   -9.497752],[336.3279   362.25595   -6.044024],[341.1997   367.72736   -6.044024],[340.28156  361.1879    -3.453728],[345.30328  364.0735    -3.453728],[331.1563   361.95615   -7.770888],[334.43542 372.52417  -8.63432],[345.678     357.609      -4.3171597],[340.43146   358.6021     -4.3171597]
[316.39105  348.12775  -14.678344],[315.8664   357.17804  -11.224616],[315.5666   362.34964   -9.497752],[314.89203  373.98572  -11.224616],[308.6336   347.67804  -13.814912],[299.43344  349.73917  -11.224616],[294.11194  352.02515   -7.770888],[2.8856558e+02 3.5818988e+02 5.9604645e-08],[292.44427    358.41473     -0.86343193],[300.3516   356.27863   -6.044024],[304.2303  356.50348  -8.63432],[310.6948   356.87823  -10.361184],[305.84174  373.46106  -10.361184],[309.10208 361.97488  -8.63432],[298.83383  360.0824    -5.180592],[293.36243  364.95416   -6.044024],[296.32297   358.6396     -2.5902958],[289.6336    362.1435     -2.5902958],[304.00543  360.3822    -6.907456],[298.23422 370.42554  -8.63432],[290.00836  355.67902   -3.453728],[296.47287  356.05377   -3.453728],[325.5163   347.3595   -14.678344],[334.34174  351.76282  -12.088048],[339.3634  354.64844  -8.63432],[345.45316   361.4877     -1.7268639],[341.6494    359.96994    -2.5902958],[333.96698  358.22736   -6.907456],[328.79538 357.92755  -8.63432],[323.62378  357.62775  -10.361184],[323.94232  374.51038  -11.224616],[323.32397  362.79932   -9.497752],[335.035    362.181     -6.044024],[338.6139   367.57745   -6.907456],[337.69574   361.038      -4.3171597],[342.64252   365.2165     -4.3171597],[329.8634   361.8812    -7.770888],[331.92456  371.0814    -9.497752],[343.09222  357.4591    -5.180592],[337.84564   358.4522     -4.3171597]
[319.05176  346.98474  -14.678344],[318.5271   356.03503  -11.224616],[318.15234  362.49954   -9.497752],[317.4778   374.13562  -11.224616],[310.00146  346.46008  -13.814912],[300.80127  348.52124  -11.224616],[295.40485  352.1001    -7.770888],[2.8985846e+02 3.5826483e+02 5.9604645e-08],[293.81213   357.19678    -1.7268639],[301.71942  355.06067   -6.044024],[306.89102 355.36047  -8.63432],[312.06262  355.66028  -10.361184],[308.50247  372.31805  -10.361184],[311.76282  360.8319    -9.497752],[300.2017   358.86444   -5.180592],[295.9482   365.10406   -6.044024],[297.61588   358.71454    -2.5902958],[292.29437   361.00052    -2.5902958],[305.29834  360.45715   -6.907456],[300.89496 369.2826   -8.63432],[291.37622  354.46106   -3.453728],[297.76578  356.12872   -3.453728],[328.17703  346.2165   -14.678344],[337.00247  350.61984  -12.088048],[342.02417 353.50543  -8.63432],[348.1139    360.3447     -1.7268639],[344.31015   358.82697    -2.5902958],[335.3348   357.0094    -6.907456],[331.45612  356.78455   -9.497752],[324.99164  356.4098   -10.361184],[326.6031   373.36737  -11.224616],[325.9847   361.65634   -9.497752],[336.40286  360.96304   -6.044024],[341.27466  366.43445   -6.907456],[340.28156   361.1879     -4.3171597],[345.30328  364.0735    -3.453728],[331.1563   361.95615   -7.770888],[334.51038  371.2313    -9.497752],[345.75296  356.3161    -5.180592],[340.5064    357.3092     -4.3171597]
[319.05176  346.98474  -15.541776],[318.5271   356.03503  -11.224616],[318.15234  362.49954  -10.361184],[317.4778   374.13562  -11.224616],[310.00146  346.46008  -14.678344],[302.09418  348.5962   -12.088048],[296.69772 352.17505  -8.63432],[289.85846    358.26483     -0.86343193],[295.0301    358.56464    -2.5902958],[301.64447  356.35358   -6.907456],[306.89102  355.36047   -9.497752],[312.06262  355.66028  -11.224616],[308.42752  373.61096  -11.224616],[311.68787  362.1248    -9.497752],[301.41962  360.2323    -6.044024],[295.87326  366.39697   -6.907456],[297.54092  360.00745   -3.453728],[292.21942  362.2934    -3.453728],[305.29834  360.45715   -7.770888],[300.82     370.57544   -9.497752],[292.59418   355.82892    -4.3171597],[299.0587    356.20367    -4.3171597],[328.17703  346.2165   -14.678344],[337.00247  350.61984  -12.088048],[341.94922  354.79834   -9.497752],[348.03894   361.6376     -1.7268639],[344.2352   360.11984   -3.453728],[335.3348   357.0094    -7.770888],[331.45612  356.78455   -9.497752],[324.99164  356.4098   -11.224616],[326.52814  374.66028  -11.224616],[325.9098   362.94922   -9.497752],[336.3279   362.25595   -6.907456],[341.1997   367.72736   -7.770888],[340.28156   361.1879     -4.3171597],[345.30328   364.0735     -4.3171597],[332.44922 362.0311   -8.63432],[334.51038  371.2313    -9.497752],[345.678    357.609     -5.180592],[340.43146  358.6021    -5.180592]
[317.75888  346.9098   -14.678344],[317.30917  354.66718  -11.224616],[316.93442  361.1317   -10.361184],[316.18494  374.06067  -11.224616],[308.7835   345.09222  -13.814912],[300.80127  348.52124  -11.224616],[295.4798   350.80722   -7.770888],[2.8993341e+02 3.5697192e+02 5.9604645e-08],[293.81213   357.19678    -1.7268639],[301.71942  355.06067   -6.044024],[305.59814 355.28552  -8.63432],[310.8447   354.29242  -10.361184],[307.20956  372.2431   -10.361184],[310.46994  360.75696   -9.497752],[300.2017   358.86444   -5.180592],[294.65533  365.0291    -6.044024],[297.61588  358.71454   -3.453728],[291.00146   360.92557    -2.5902958],[304.00543  360.3822    -7.770888],[299.60208 369.20764  -8.63432],[291.37622  354.46106   -3.453728],[297.84073  354.83582   -3.453728],[326.88412  346.14154  -14.678344],[335.78452  349.25198  -12.088048],[340.73126  353.43048   -9.497752],[346.821     360.26974    -1.7268639],[343.01727  358.752     -3.453728],[334.04193  356.93445   -7.770888],[330.23816  355.4167    -9.497752],[323.77368  355.04193  -11.224616],[325.31018  373.29242  -11.224616],[324.69183  361.5814    -9.497752],[335.10995  360.8881    -6.907456],[339.98175  366.3595    -6.907456],[338.98865   361.11295    -4.3171597],[344.01038   363.99854    -4.3171597],[329.8634  361.8812   -8.63432],[333.21747  371.15634   -9.497752],[344.46005  356.24115   -5.180592],[339.2135   357.23425   -5.180592]
