0, 13, 14, 17, 37, 39, 40, 61, 78, 80, 81, 82, 84, 87, 88, 91, 95, 146, 178, 181, 185, 191, 267, 269, 270, 291, 308, 310, 311, 312, 314, 317, 318, 321, 324, 375, 402, 405, 409, 415
[308.23715  260.00275  -17.363203],[306.67474   268.3375    -13.8720255],[305.60892  274.20117  -12.991888],[304.10425  285.4183   -14.603426],[300.2505  257.87402 -16.8129 ],[291.35016  259.925    -14.675398],[285.5249   263.14453  -11.882385],[278.672     269.2055     -5.4915667],[282.84235 268.85925  -6.77376],[290.667    267.2943   -10.496483],[295.39584   267.14413   -12.2168255],[300.84872  267.4638   -13.612981],[295.81573  283.32687  -14.558345],[299.21655  272.98102  -12.687697],[288.95154  271.02988   -9.890571],[283.7038   275.4668   -11.218596],[286.0402  270.43158  -8.1102 ],[280.5199   272.10815   -8.353889],[293.61798  271.79266  -11.459654],[288.83246 279.7717  -13.24202],[281.10205  265.95563   -8.717911],[286.6996   267.6896    -8.386983],[316.2244   260.4862   -16.294952],[323.47314 265.16144 -13.51396],[327.37427  269.98944  -10.292387],[330.80835   277.73187    -3.3126907],[327.0277   275.95233   -4.953596],[321.01776  272.1592    -9.193626],[317.07477  270.5493   -11.309324],[312.21136  269.3083   -13.079796],[312.40866  286.0898   -14.031164],[311.89893  275.0583   -12.163524],[321.2729   276.2353    -8.599066],[325.1424   282.30005   -9.798859],[323.89267   276.52493    -6.5344543],[328.5634   279.9944    -6.490582],[317.13602  275.6026   -10.496187],[319.57242  284.88992  -12.141653],[329.99835  273.94586   -6.716342],[324.1416    273.62622    -6.7729483]
[309.16675 260.3529  -17.77267],[307.73578  268.88867  -14.385166],[306.87415  274.36536  -13.653081],[305.5395   285.59045  -15.474358],[301.17267  258.32443  -17.186121],[292.32858  260.5679   -15.051941],[286.6025   263.94684  -12.322555],[280.0024    270.21002    -6.1066794],[284.17548   269.79486    -7.4078336],[291.82336  268.13855  -11.003351],[296.48962  267.86957  -12.708416],[301.93396 268.0971  -14.08854],[297.255    283.61267  -15.390966],[300.4975    273.24075   -13.3318405],[290.25983  271.5985   -10.542135],[285.0644    276.10904   -12.0070915],[287.37628  271.14273   -8.758694],[281.87845  272.94727   -9.073679],[294.905   272.17316 -12.10097],[290.24942  280.22784  -14.060204],[282.2915   266.89624   -9.227306],[287.93094  268.61688   -8.948654],[317.174    260.77606  -16.718216],[324.52124   265.4995    -14.0280075],[328.5213   270.37042  -10.927435],[332.06128   278.1426     -4.2077847],[328.26303  276.3864    -5.812525],[322.19156  272.66803   -9.871529],[318.20944  271.06537  -11.908755],[313.31158 269.82776 -13.62433],[313.8149   286.2082   -14.936363],[313.15955  275.18744  -12.867861],[322.56873  276.44324   -9.411026],[326.51758  282.49908  -10.757994],[325.1699    276.81512    -7.3937926],[329.89322   280.29947    -7.4228725],[318.4096   275.7412   -11.255248],[320.9755   285.0154   -13.092503],[331.2151    274.37885    -7.4758406],[325.34244  274.12598   -7.547607]
[310.53757  260.52258  -17.238052],[308.96484  268.9264   -13.730231],[308.15152  273.81128  -13.029869],[306.8019   284.99414  -14.671682],[302.6516  258.46826 -16.78902],[293.8474   260.64005  -14.783154],[288.08707 263.9184  -12.18173],[281.36307   269.93903    -6.0630255],[285.44757  269.46182   -7.309839],[293.17065  268.0352   -10.733899],[297.8527   267.85892  -12.300699],[303.26984  268.12613  -13.564884],[298.66425 283.04187 -14.74011],[301.89294  272.6997   -12.843611],[291.63733  271.10992  -10.303022],[286.51697  275.614    -11.695675],[288.6998   270.6892    -8.625092],[283.27777  272.52982   -8.918433],[296.3244   271.6643   -11.747236],[291.71494   279.68152   -13.6137085],[283.71564  266.76257   -9.185993],[289.2456   268.42676   -8.778246],[318.35083  260.93896  -16.082468],[325.4216   265.56293  -13.265438],[329.19046 270.347   -10.10309],[332.40744  277.85437   -3.256607],[328.66467   276.01556    -4.9522214],[322.8524   272.52222   -9.047447],[319.04272  271.0006   -11.101568],[314.33533  269.82812  -12.868566],[314.8545   285.61926  -14.043364],[314.2494   274.63208  -12.152525],[323.27634 275.9277   -8.62561],[327.14697  281.99655   -9.842984],[325.74268 276.33575  -6.57708],[330.3549    279.88034    -6.5138493],[319.31323  275.20703  -10.483349],[321.8036   284.4609   -12.178323],[331.6825   274.22815   -6.604319],[325.84406  273.88705   -6.703952]
[309.6295   260.7942   -16.828781],[308.10626  268.93048  -13.334782],[307.58832  272.2707   -13.033367],[306.3178   283.09094  -14.976462],[301.68277  258.66678  -16.425243],[292.79968  260.52774  -14.409396],[286.91766  263.42938  -11.810526],[280.17905   268.6424     -5.7642665],[284.19757  268.23175   -7.004896],[291.902    267.46088  -10.329787],[296.69406  267.54315  -11.895987],[302.2204   268.0064   -13.165211],[298.27557  281.22052  -15.001939],[301.26318  271.14343  -12.843231],[290.6767   269.58136  -10.216003],[285.82275  274.1027   -11.701975],[287.604    269.24716   -8.426573],[282.3257    271.13812    -8.7167015],[295.5539   270.10117  -11.705215],[291.25693  278.00656  -13.765186],[282.45126  265.8933    -8.813219],[287.8913   267.54877   -8.423535],[317.5197   261.24353  -15.728745],[324.777    265.71478  -12.938166],[328.8031   270.25763   -9.816948],[332.3598   277.06622   -3.060938],[328.6063    275.29324    -4.7259727],[322.5838   272.33884   -8.696438],[318.58105  270.96765  -10.717306],[313.69806  269.87592  -12.487815],[314.21774  283.8015   -14.331167],[313.73706 273.15826 -12.16128],[323.0655   274.72733   -8.588135],[326.6861   280.69855   -9.912128],[325.61514   275.29266    -6.4506216],[330.09436   278.85712    -6.3919706],[318.93735  273.8448   -10.476844],[321.1782   282.87177  -12.365223],[331.55032   273.84772    -6.3177695],[325.73773 273.4983   -6.40854]
[309.29553 261.3761  -16.55712],[307.74164  269.3816   -12.955907],[307.14752  273.0663   -12.515301],[305.80267  283.89264  -14.227812],[301.37405  259.32803  -16.177082],[292.526    261.19678  -14.145733],[286.6721   264.0742   -11.528728],[279.93018   269.227      -5.3448043],[283.956    268.8033    -6.566779],[291.65628  267.9698    -9.975217],[296.4119   268.05722  -11.566334],[301.88113  268.49197  -12.824254],[297.7213   282.0655   -14.299065],[300.78787  271.97708  -12.353567],[290.3006   270.31937   -9.728819],[285.39606  274.8565   -11.107853],[287.2865   269.91104   -7.940098],[281.98654 271.8029   -8.1909 ],[295.1213   270.9155   -11.221986],[290.734   278.83994 -13.1278 ],[282.22238 266.48932  -8.47607],[287.6637   268.0677    -8.036252],[317.15308  261.70688  -15.436209],[324.3498   265.97003  -12.574251],[328.3202   270.36197   -9.352836],[331.84924  277.04227   -2.376791],[328.08856  275.3586    -4.059948],[322.06274  272.5204    -8.210149],[318.10938  271.24646  -10.286873],[313.2717   270.23526  -12.085346],[313.74365  284.47006  -13.563958],[313.29086 273.84692 -11.61725],[322.55008  275.1075    -7.964389],[326.18335  280.96988   -9.150991],[325.0811    275.53497    -5.7820063],[329.5791   278.9623    -5.657011],[318.45782 274.3913   -9.90146],[320.70837  283.35052  -11.600163],[331.0351   273.84955   -5.749415],[325.22223   273.60602    -5.8264246]
[310.96875  261.8235   -16.612059],[309.5332   270.08636  -13.004484],[308.49527 276.02554 -11.86703],[307.2413   287.28323  -13.421222],[302.70224  259.77167  -16.168982],[293.6082   261.89157  -14.051431],[287.7786    265.13406   -11.2327585],[280.91528   271.27725    -4.7201214],[285.1241   270.8441    -5.963477],[293.08667  269.17932   -9.720362],[297.9023   268.9992   -11.432265],[303.53702  269.28607  -12.794012],[298.78772  285.31775  -13.452152],[301.98132  274.90286  -11.637226],[291.47388  273.03662   -9.012184],[286.29376  277.53476  -10.225594],[288.44702   272.4106     -7.2832413],[282.9304   274.16528   -7.459578],[296.27176  273.77463  -10.513498],[291.62457  281.81354  -12.177863],[283.34412 267.986    -8.02368],[289.03384   269.60165    -7.6250896],[319.09088  262.17557  -15.515776],[326.5099   266.58633  -12.630232],[330.43646 271.244    -9.27281],[333.90405   278.84616    -2.1044493],[330.00616   277.0816     -3.7814355],[324.00046  273.47638   -8.135418],[320.06134   272.02017   -10.2982855],[315.1473   270.93082  -12.151693],[315.60178  287.78622  -12.786105],[314.84286  276.74457  -10.988892],[324.22977   277.62576    -7.4130173],[328.31342  283.63623   -8.484676],[326.86624   277.79282    -5.3476305],[331.70148   281.18536    -5.2168283],[320.0985   277.14804   -9.318985],[322.779    286.41245  -10.827367],[333.07233   275.09387    -5.6194544],[327.10953   274.8336     -5.6574306]
[307.8726   261.2865   -17.276905],[306.405    269.57266  -13.681551],[304.90686 279.1252  -11.85862],[303.42017  290.92926  -12.932098],[299.4197   259.18268  -16.761269],[290.18378  261.22244  -14.501841],[284.28052  264.49667  -11.426926],[277.1773    271.1031     -4.3971267],[281.6463   270.80438   -5.677733],[289.83762  268.6073    -9.961683],[294.6202    268.39218   -11.9439745],[300.23718  268.68613  -13.425751],[294.37286  288.61505  -12.938227],[298.02963  277.78256  -11.568073],[287.60995  274.80322   -8.626053],[281.90018   279.31628    -9.6784525],[284.78058   273.541      -6.8344274],[278.8473   274.97897   -6.996072],[292.29993  276.2066   -10.305134],[287.04623  284.50226  -11.630525],[279.79333  267.41702   -7.969428],[285.7226   269.14893   -7.597089],[316.34003  261.6889   -16.157782],[324.05566  266.23956  -13.177714],[328.1813   271.00613   -9.582513],[331.97156   279.26654    -1.8712864],[327.77777   277.59418    -3.5359406],[321.4562   273.28882   -8.491972],[317.4025   271.6943   -10.864466],[312.30414  270.5055   -12.807526],[312.52582  291.31784  -12.313404],[311.69363 279.77625 -10.93865],[321.5626    279.7745     -7.1424227],[325.99582  285.83743   -8.000536],[324.3443    279.35184    -5.0023327],[329.5892   282.5171    -4.834521],[317.20526  279.84302   -9.184485],[320.1717   289.41583  -10.333848],[330.998     275.03464    -5.6503534],[324.74326  274.82553   -5.709642]
[310.9187   263.65692  -16.993937],[309.6761   271.9934   -13.120125],[309.4795   274.04205  -13.039008],[308.4368   285.00537  -14.731148],[303.33026 261.75134 -16.5434 ],[294.95544  263.96484  -14.406157],[289.50125  267.1228   -11.830635],[283.25513  272.43634   -5.593952],[287.06186   271.7293     -6.9340057],[294.51364  271.02185  -10.170751],[299.03302   270.9989    -11.6998005],[304.25137  271.2727   -12.961831],[300.57996  283.4617   -14.814402],[303.36517  273.1776   -12.875472],[293.24603  272.2459   -10.235643],[288.522    276.9735   -11.651777],[290.32098  272.2292    -8.410554],[285.2139   274.47784   -8.633976],[297.9097   272.4575   -11.723144],[293.76227  280.52734  -13.670971],[285.3455   269.7132    -8.754486],[290.72076  271.16913   -8.292875],[318.5109    263.7742    -15.8550625],[325.5844   268.01477  -12.979748],[329.5711   272.40225   -9.851051],[333.34808   278.9324     -2.9073362],[329.69098   277.16083    -4.6753306],[323.49197 274.75873  -8.59546],[319.59592  273.60733  -10.556189],[314.9206   272.6938   -12.298605],[316.18304  285.51773  -14.153722],[315.43817  274.75174  -12.186828],[324.46326  276.253     -8.639415],[328.2121   282.135     -9.875417],[326.904    276.9076    -6.472933],[331.36774  280.42236   -6.354498],[320.48383  275.37054  -10.502163],[322.97675 284.34363 -12.30597],[332.3786  275.85107  -6.30015],[326.66342  275.6911    -6.311221]
[307.66742  261.2902   -17.329845],[306.2312   269.4798   -13.656366],[305.28113  275.38544  -12.692838],[303.7858   286.6297   -14.084393],[299.8075  259.1997  -16.76735],[291.09894  261.1741   -14.514854],[285.41534  264.29926  -11.618851],[278.78387   270.12628    -4.9186673],[282.91357   269.70648    -6.2631445],[290.6025   268.31067  -10.150277],[295.19955  268.2495   -11.956648],[300.51248  268.59903  -13.387306],[295.49515  284.56586  -14.038913],[298.90118  274.17557  -12.381773],[288.82727  272.07227   -9.459191],[283.59094 276.55176 -10.68712],[286.01233  271.37955   -7.598336],[280.5239    273.12042    -7.7783155],[293.3904   272.94812  -11.097139],[288.59116  280.96118  -12.725427],[281.1236   266.9841    -8.307344],[286.70258   268.60986    -7.9518566],[315.5845   261.69812  -16.267101],[322.83792  266.20667  -13.426522],[326.8403   270.88333  -10.120937],[330.5379    278.3715     -2.8600616],[326.7236  276.59103  -4.51803],[320.5291   273.02728   -8.930591],[316.57123  271.55545  -11.082676],[311.7254   270.38687  -12.874865],[312.08856  287.23685  -13.538864],[311.56186 276.17703 -11.85683],[320.96494  277.11572   -8.232095],[324.8426   283.11862   -9.331171],[323.59085  277.29398   -6.111989],[328.28308  280.7155    -6.017517],[316.80457  276.6153   -10.168156],[319.2743   285.8733   -11.675444],[329.60623  274.69196   -6.419952],[323.74136  274.36072   -6.410327]
[308.17877 260.94522 -17.06336],[306.73648  269.1657   -13.500062],[305.94733  274.5324   -12.749049],[304.61066  285.6839   -14.455141],[300.20667  258.91742  -16.562317],[291.32855  260.93857  -14.377396],[285.5122   264.04892  -11.517088],[278.65063   269.7757     -4.9724846],[282.7202    269.37695    -6.2523146],[290.57336   268.01852   -10.0371065],[295.33322  267.974    -11.828612],[300.83472  268.324    -13.248219],[296.29108  283.7789   -14.397884],[299.46793 273.41757 -12.45576],[288.9966   271.51566   -9.525719],[283.98465  276.05777  -10.845943],[285.9995  270.9101   -7.63902],[280.63837  272.72488   -7.848467],[293.78076  272.27103  -11.181763],[289.24768  280.31046  -12.964481],[281.0625   266.69217   -8.238743],[286.5371    268.28024    -7.8962502],[316.1139   261.2115   -15.998781],[323.43478  265.565    -13.131759],[327.49457  270.13184   -9.792416],[331.36502   277.46616    -2.6463308],[327.60355 275.8187   -4.28238],[321.30823  272.4342    -8.641869],[317.25806  271.05722  -10.839693],[312.32306  269.99832  -12.677258],[312.85977  286.22263  -13.825668],[312.26587  275.27335  -11.874765],[321.78943  276.22095   -8.133388],[325.5794 282.1426  -9.3043],[324.46338   276.44717    -5.9361343],[329.05014  279.7863    -5.846723],[317.56744  275.69543  -10.127011],[320.01407   284.85107   -11.7733345],[330.34857   273.8472     -6.0935907],[324.59338  273.68692   -6.133455]
