0, 13, 14, 17, 37, 39, 40, 61, 78, 80, 81, 82, 84, 87, 88, 91, 95, 146, 178, 181, 185, 191, 267, 269, 270, 291, 308, 310, 311, 312, 314, 317, 318, 321, 324, 375, 402, 405, 409, 415
[351.39795 374.32693 -12.95148],[352.8782   380.43542   -9.497752],[353.0281  382.49658  -8.63432],[353.62772  390.74115  -10.361184],[345.2145   374.77664  -12.088048],[338.07544  376.33185   -9.497752],[334.10306  378.6928    -5.180592],[331.2362    382.0094      1.7268641],[334.3279     381.78455      0.86343205],[339.40582   380.3792     -4.3171597],[342.57248  381.18494   -6.044024],[347.72534 380.81018  -8.63432],[346.41373  391.2658    -9.497752],[347.87524  382.87134   -7.770888],[339.55573  382.44037   -3.453728],[335.73325   386.86246    -4.3171597],[336.46402    382.66522     -0.86343193],[333.44724    383.92065     -0.86343193],[342.64743  382.2155    -6.044024],[341.11096  389.5794    -6.907456],[332.11688   379.8733     -1.7268639],[336.31412   380.60406    -1.7268639],[358.61194 373.8023  -12.95148],[365.97586  375.33878  -10.361184],[371.2786   377.02515   -7.770888],[377.6869     379.66718     -0.86343193],[374.5202    378.86145    -1.7268639],[367.3062   379.3861    -6.044024],[363.18396  379.6859    -7.770888],[358.03107 380.06067  -8.63432],[359.81116  390.29144   -9.497752],[358.18097 382.12183  -8.63432],[368.4867   381.3723    -5.180592],[370.7727   384.31415   -6.044024],[371.50345  380.11688   -3.453728],[374.74506   381.9532     -2.5902958],[363.33386  381.74707   -6.907456],[365.8447  387.78058  -8.63432],[375.47583   377.75592    -4.3171597],[371.4285   379.0863    -3.453728]
[352.50348  373.4364   -14.678344],[352.95316  379.17014  -11.224616],[353.25296  382.9926   -10.361184],[353.92752  391.5932   -11.224616],[345.73917  373.00543  -13.814912],[339.1997   375.44135  -11.224616],[335.52713  377.65237   -7.770888],[3.3207941e+02 3.8273029e+02 5.9604645e-08],[334.8713     381.5498      -0.86343193],[340.5301   380.14447   -6.044024],[344.35257 379.84467  -8.63432],[348.17505  379.54486  -10.361184],[347.16324  391.16223  -10.361184],[348.47485  383.36737   -9.497752],[339.79932  383.0863    -5.180592],[337.23227  387.13367   -6.044024],[337.8131    382.28058    -2.5902958],[334.14053   384.49164    -2.5902958],[343.62183  382.7865    -7.770888],[341.2796  389.70068  -8.63432],[332.81018  379.78845   -3.453728],[337.6632   380.36932   -3.453728],[359.1928   372.91174  -14.678344],[366.03204  374.29834  -12.088048],[370.0794  376.8654   -8.63432],[375.15732   380.3131     -1.7268639],[372.29047   380.53796    -2.5902958],[366.4068   379.07642   -6.907456],[362.58435 379.37622  -8.63432],[357.8062   379.75098  -10.361184],[359.5863   390.18787  -11.224616],[358.03107  382.61786   -9.497752],[366.63165  381.9433    -6.044024],[370.75397  385.46597   -6.907456],[369.42358   380.76282    -4.3171597],[373.47095   383.3299     -4.3171597],[362.8092   382.2431    -7.770888],[365.2451   388.78256   -9.497752],[374.0518   378.4768    -5.180592],[369.34863   379.8072     -4.3171597]
[352.57843  374.39203  -14.678344],[353.0281   380.12573  -10.361184],[353.10306  381.08136  -10.361184],[353.77762  389.68195  -12.088048],[346.76974  373.8861   -13.814912],[340.2303   376.322    -10.361184],[336.5577   378.53305   -6.907456],[332.96008    381.6997       0.86343205],[335.82693    381.47485     -0.86343193],[340.5301   380.14447   -5.180592],[344.35257  379.84467   -7.770888],[348.17505  379.54486   -9.497752],[347.01334  389.25098  -11.224616],[348.32495  381.45612   -9.497752],[340.60504  381.1001    -5.180592],[338.1129   386.1031    -6.044024],[338.6938    381.25       -2.5902958],[335.0212    383.46106    -2.5902958],[344.50247  381.75592   -7.770888],[342.08533 387.71448  -8.63432],[333.7658   379.7135    -3.453728],[338.61884   380.29437    -2.5902958],[359.1928   372.91174  -13.814912],[366.03204  374.29834  -12.088048],[371.03503 376.79044  -8.63432],[376.038     379.28253    -1.7268639],[373.17114   379.5074     -2.5902958],[366.4068   379.07642   -6.907456],[362.58435 379.37622  -8.63432],[358.76184  379.67603  -10.361184],[360.39203  388.2017   -11.224616],[358.8368   380.63165   -9.497752],[367.43738  379.9571    -6.907456],[370.60406  383.55475   -7.770888],[370.30426   379.73224    -4.3171597],[373.32104   381.41864    -4.3171597],[363.61493 380.2569   -8.63432],[366.05078  386.79636  -10.361184],[373.97684  377.5212    -5.180592],[370.2293    378.7766     -4.3171597]
[351.52023 374.02713 -12.95148],[351.9699   380.21057   -9.497752],[352.1198  382.27173  -8.63432],[352.71942  390.5163    -9.497752],[344.23126 373.5212  -12.95148],[338.19775  376.03204   -9.497752],[334.1504   377.36243   -6.044024],[330.3279    381.78455     1.7268641],[3.3341962e+02 3.8155969e+02 5.9604645e-08],[338.49753   380.15436    -4.3171597],[342.6198   379.85455   -6.907456],[346.74213 379.55475  -8.63432],[345.50543  391.04095   -9.497752],[346.96698  382.64648   -7.770888],[338.64743   382.2155     -4.3171597],[334.82495  386.6376    -5.180592],[335.48077   381.4098     -1.7268639],[331.5084    383.77075    -1.7268639],[341.73917  381.99066   -6.044024],[340.20267  389.35455   -7.770888],[331.2086    379.64844    -2.5902958],[335.40582   380.3792     -1.7268639],[358.73425 373.5025  -12.95148],[366.09814  375.03897  -10.361184],[370.3703   376.8003    -7.770888],[3.7582300e+02 3.8054785e+02 5.9604645e-08],[372.6563    379.74213    -1.7268639],[366.39795  379.16125   -5.180592],[362.27567  379.46106   -7.770888],[357.1228  379.83582  -8.63432],[358.90286  390.0666    -9.497752],[357.2727  381.89697  -8.63432],[366.54785  381.2224    -5.180592],[369.93933  385.11984   -6.044024],[369.63956   380.99756    -2.5902958],[373.91174   382.7589     -2.5902958],[362.42557  381.52222   -6.907456],[365.01135  388.5863    -7.770888],[374.64252  378.56165   -3.453728],[369.48965  378.9364    -3.453728]
[352.47583  372.9216   -13.814912],[352.92554  379.10504   -9.497752],[353.07544  381.1662    -9.497752],[352.64447  389.48572  -10.361184],[345.1869  372.4157  -12.95148],[338.1228   375.0015    -9.497752],[334.1504   377.36243   -6.044024],[330.25296    380.75397      0.86343205],[3.3334467e+02 3.8052911e+02 5.9604645e-08],[339.45316  379.04883   -5.180592],[342.54486  378.82397   -6.907456],[347.69775 378.44922  -8.63432],[346.3861   388.90485  -10.361184],[347.84763 380.51038  -8.63432],[338.57248   381.18494    -4.3171597],[335.78058  385.53207   -5.180592],[336.4364    380.30426    -1.7268639],[332.46402   382.66522    -1.7268639],[342.69476  380.88513   -6.907456],[340.05276  387.2934    -7.770888],[331.13364   378.61786    -2.5902958],[336.36145   379.27368    -2.5902958],[358.58435 371.44135 -12.95148],[367.05374  373.93344  -11.224616],[371.32593  375.6948    -7.770888],[376.77863    379.44232     -0.86343193],[373.61194   378.6366     -1.7268639],[367.35355  378.05573   -6.044024],[363.23126  378.35553   -7.770888],[358.07843  378.7303    -9.497752],[359.8585   388.96106  -10.361184],[358.22833 380.79144  -8.63432],[367.50345  380.11688   -5.180592],[370.82     382.98376   -6.044024],[370.59515  379.89203   -3.453728],[373.8368   381.72833   -3.453728],[363.38116  380.4167    -7.770888],[365.89203 386.4502   -8.63432],[374.56757   377.53107    -4.3171597],[370.44525  377.83087   -3.453728]
[351.93246 373.9522  -12.95148],[352.96304  380.13562   -9.497752],[352.96304 381.1662   -8.63432],[353.9936   389.41077  -10.361184],[344.71844  373.9522   -12.088048],[338.53503  376.01334   -9.497752],[334.41272  378.07446   -6.044024],[331.321     382.19678     1.7268641],[3.3441272e+02 3.8219678e+02 5.9604645e-08],[339.5656    380.13562    -4.3171597],[343.68787  380.13562   -6.907456],[347.81018 380.13562  -8.63432],[347.81018  389.41077   -9.497752],[347.81018  382.19678   -7.770888],[339.5656    382.19678    -4.3171597],[336.47388  386.31906   -5.180592],[337.50446   382.19678    -1.7268639],[333.38217   384.25793    -1.7268639],[343.68787  382.19678   -6.044024],[341.62674  388.3802    -7.770888],[332.3516    380.13562    -1.7268639],[336.47388   381.1662     -1.7268639],[359.14645 372.92163 -12.95148],[366.36047  373.9522   -11.224616],[371.51334  376.01334   -7.770888],[377.69678    379.10504     -0.86343193],[374.60504   378.07446    -2.5902958],[367.39105  378.07446   -6.044024],[363.26874  379.10504   -7.770888],[358.1159   379.10504   -9.497752],[360.17703  388.3802   -10.361184],[359.14645 381.1662   -8.63432],[368.42163  380.13562   -6.044024],[371.51334  383.22736   -6.907456],[371.51334   379.10504    -4.3171597],[374.60504  381.1662    -3.453728],[364.29932  380.13562   -7.770888],[366.36047  386.31906   -9.497752],[375.63562   377.04388    -4.3171597],[371.51334   378.07446    -4.3171597]
[351.52023 374.02713 -12.95148],[351.89496 379.18     -8.63432],[352.1198   382.27173   -7.770888],[352.71942  390.5163    -9.497752],[344.23126  373.5212   -12.088048],[338.19775  376.03204   -9.497752],[334.1504   377.36243   -5.180592],[330.25296  380.75397    2.590296],[333.34467    380.5291       0.86343205],[338.49753   380.15436    -4.3171597],[342.6198   379.85455   -6.044024],[346.74213 379.55475  -8.63432],[346.46106 389.93542  -8.63432],[346.89203  381.6159    -7.770888],[338.57248  381.18494   -3.453728],[335.78058   385.53207    -4.3171597],[336.51135    381.33484     -0.86343193],[332.53897    383.6958      -0.86343193],[342.7697   381.9157    -5.180592],[340.12772  388.32397   -6.907456],[331.2086    379.64844    -1.7268639],[336.4364    380.30426    -1.7268639],[358.6593  372.47192 -12.95148],[366.0232   374.0084   -10.361184],[371.32593  375.6948    -6.907456],[3.7670367e+02 3.7841174e+02 5.9604645e-08],[373.61194   378.6366     -1.7268639],[366.323    378.13068   -5.180592],[363.23126  378.35553   -6.907456],[358.07843 378.7303   -8.63432],[359.8585   388.96106   -9.497752],[358.22833  380.79144   -7.770888],[367.50345  380.11688   -5.180592],[370.89496  384.01434   -5.180592],[370.59515   379.89203    -2.5902958],[373.76184   380.69775    -2.5902958],[363.38116  380.4167    -6.907456],[365.89203  386.4502    -7.770888],[374.4926   376.5005    -3.453728],[370.44525  377.83087   -3.453728]
[351.44528 372.99655 -12.95148],[352.92554 379.10504  -8.63432],[353.07544 381.1662   -8.63432],[353.67505  389.41077   -9.497752],[345.1869   372.4157   -12.088048],[338.1228   375.0015    -9.497752],[334.1504   377.36243   -6.044024],[331.28354   380.67902     1.7268641],[334.37524    380.45416      0.86343205],[339.45316   379.04883    -4.3171597],[342.54486  378.82397   -6.044024],[347.69775 378.44922  -8.63432],[346.3861  388.90485  -8.63432],[347.92258  381.54095   -7.770888],[339.60306  381.11      -3.453728],[335.78058   385.53207    -4.3171597],[336.4364     380.30426     -0.86343193],[333.49457    382.59027     -0.86343193],[342.69476  380.88513   -6.044024],[341.1583   388.24902   -6.907456],[332.1642    378.5429     -1.7268639],[336.36145   379.27368    -1.7268639],[358.58435 371.44135 -12.95148],[365.94824  372.97784  -10.361184],[371.32593  375.6948    -7.770888],[3.7670367e+02 3.7841174e+02 5.9604645e-08],[373.537     377.60602    -1.7268639],[367.35355  378.05573   -5.180592],[363.23126  378.35553   -7.770888],[358.07843 378.7303   -8.63432],[359.78354  387.93048   -9.497752],[358.22833  380.79144   -7.770888],[367.4285   379.0863    -5.180592],[370.82     382.98376   -6.044024],[370.5202   378.86145   -3.453728],[373.76184   380.69775    -2.5902958],[363.38116  380.4167    -6.907456],[365.89203  386.4502    -7.770888],[374.4926    376.5005     -4.3171597],[370.44525  377.83087   -3.453728]
[351.44528 372.99655 -12.95148],[351.89496  379.18      -9.497752],[352.1198   382.27173   -7.770888],[352.71942  390.5163    -9.497752],[344.23126  373.5212   -12.088048],[338.1228   375.0015    -9.497752],[334.1504   377.36243   -6.044024],[330.3279    381.78455     1.7268641],[333.41962    381.5597       0.86343205],[339.5281    380.0794     -4.3171597],[342.6198   379.85455   -6.907456],[346.74213 379.55475  -8.63432],[346.536   390.966    -8.63432],[346.96698  382.64648   -7.770888],[338.64743  382.2155    -3.453728],[335.85553   386.56265    -4.3171597],[336.51135    381.33484     -0.86343193],[332.53897    383.6958      -0.86343193],[342.7697   381.9157    -5.180592],[340.20267  389.35455   -6.907456],[331.2086    379.64844    -1.7268639],[336.4364    380.30426    -1.7268639],[358.6593  372.47192 -12.95148],[366.0232   374.0084   -10.361184],[370.29535  375.76974   -7.770888],[3.7670367e+02 3.7841174e+02 5.9604645e-08],[373.61194   378.6366     -1.7268639],[366.323    378.13068   -6.044024],[362.2007   378.43048   -7.770888],[358.07843 378.7303   -8.63432],[359.93344  389.99164   -9.497752],[358.30328  381.82202   -7.770888],[367.50345  380.11688   -5.180592],[370.89496  384.01434   -5.180592],[370.59515   379.89203    -2.5902958],[373.8368    381.72833    -2.5902958],[363.45612  381.44727   -6.907456],[365.96698  387.48077   -7.770888],[374.4926   376.5005    -3.453728],[370.44525  377.83087   -3.453728]
[350.63956  372.15335  -13.814912],[351.08926  377.8871    -9.497752],[351.31412  380.75397   -9.497752],[351.91373  388.39893  -10.361184],[343.87527 371.72238 -12.95148],[338.29144  374.08334  -10.361184],[334.61884  376.29437   -6.907456],[330.14053    380.49164      0.86343205],[332.93246    379.31116     -0.86343193],[338.6662   378.86145   -5.180592],[342.48868  378.56165   -7.770888],[346.31116  378.26184   -9.497752],[345.1494   387.96796  -10.361184],[346.46106 380.1731   -8.63432],[337.78552  379.89203   -5.180592],[335.21844  383.93933   -6.044024],[335.87427   380.04193    -2.5902958],[332.2017    382.253      -1.7268639],[341.68295  380.54785   -6.907456],[340.22144  386.43146   -7.770888],[331.9019    378.43048    -2.5902958],[335.72437   378.13068    -2.5902958],[356.3733   371.70364  -13.814912],[363.21252  373.09024  -11.224616],[367.2599   375.6573    -7.770888],[373.21844    378.07446     -0.86343193],[370.3516    378.29932    -1.7268639],[363.58728  377.86835   -6.044024],[359.76483  378.16815   -7.770888],[355.86737  377.51233   -9.497752],[357.64746  387.94922  -10.361184],[356.09222 380.3792   -8.63432],[364.6928   379.70465   -6.044024],[367.78455  382.34665   -6.044024],[367.48474  378.52417   -3.453728],[370.57645  381.16617   -3.453728],[360.87033  380.00446   -7.770888],[363.23126 385.58826  -8.63432],[371.15732   376.3131     -4.3171597],[367.4098   377.56854   -3.453728]
[351.34222 373.46155 -12.95148],[351.09863 379.77615  -8.63432],[351.36096 381.83728  -8.63432],[352.41028  390.08188   -9.497752],[343.99707  373.34912  -12.088048],[337.94476  375.1667    -9.497752],[334.0848   377.7525    -6.044024],[331.3866    381.23767     1.7268641],[3.3447830e+02 3.8084418e+02 5.9604645e-08],[339.63116   380.18835    -4.3171597],[342.7229   379.79486   -6.044024],[346.84518 379.27023  -8.63432],[346.09567 389.8383   -8.63432],[347.10748  381.3314    -7.770888],[338.73175   381.3501     -4.3171597],[336.1647    385.8659     -4.3171597],[336.6706    381.61243    -1.7268639],[332.6795     383.16766     -0.86343193],[341.8235   380.9566    -6.044024],[340.68048  388.43295   -6.907456],[332.286     380.07593    -1.7268639],[336.53946   380.58185    -1.7268639],[357.52563 372.67456 -12.95148],[365.13318  374.84814  -10.361184],[369.51776  376.38464   -7.770888],[375.19525    379.8511      -0.86343193],[371.97238   379.21402    -1.7268639],[365.6578   378.97043   -6.044024],[361.53552  379.4951    -7.770888],[356.25146 379.12033  -8.63432],[358.5937   389.2949    -9.497752],[356.5138  381.18146  -8.63432],[365.78897  380.001     -5.180592],[369.40533  383.7298    -6.044024],[368.88068  379.6075    -3.453728],[372.36588  382.30573   -3.453728],[361.6667   380.52563   -6.907456],[364.64597 387.47733  -8.63432],[372.8718    378.0523     -4.3171597],[368.7495   378.57697   -3.453728]
[349.41373  372.38412  -14.678344],[350.20068  378.45514  -10.361184],[349.58237  381.62183  -10.361184],[350.63165  389.7165   -11.224616],[343.08038 371.14743 -12.95148],[336.2599   374.08923  -10.361184],[332.47485  376.63757   -6.907456],[3.2996399e+02 3.8107840e+02 5.9604645e-08],[332.86835    379.6731      -0.86343193],[337.92752  379.01727   -6.044024],[340.96304  378.62378   -7.770888],[345.01038  378.09912   -9.497752],[344.4295   389.49164  -10.361184],[345.40387  381.13464   -9.497752],[337.17804  381.1721    -5.180592],[334.536    384.60107   -6.044024],[335.0232    380.42258    -2.5902958],[331.23816   382.97092    -2.5902958],[340.2135   380.7786    -6.907456],[337.965   387.2431   -8.63432],[330.71353  378.92358   -3.453728],[334.89203  379.41077   -3.453728],[355.48474  371.59714  -13.814912],[362.96106  373.7145   -12.088048],[367.2707   375.2135    -9.497752],[372.98572   379.61688    -2.5902958],[370.83087  378.86737   -3.453728],[363.48572  377.76184   -7.770888],[359.4384   378.2865    -9.497752],[355.2599   377.79932  -10.361184],[356.70267  388.9295   -11.224616],[355.65338  380.83484   -9.497752],[364.7599   379.65436   -6.907456],[367.3082   383.43933   -7.770888],[367.79535  379.26086   -5.180592],[371.22437  381.90286   -5.180592],[359.7007  380.31018  -8.63432],[362.64252  387.13068  -10.361184],[371.71155  377.72437   -6.044024],[367.66418  378.24902   -5.180592]
[351.93246 374.98276 -12.95148],[352.96304 380.13562  -8.63432],[352.96304 383.22736  -8.63432],[353.9936   391.47192   -9.497752],[344.71844  373.9522   -12.088048],[338.53503 377.04388  -8.63432],[334.41272  379.10504   -5.180592],[331.321    383.22736    2.590296],[334.41272    382.19678      0.86343205],[339.5656   381.1662    -3.453728],[342.65732  381.1662    -6.044024],[347.81018  380.13562   -7.770888],[346.7796  391.47192  -8.63432],[347.81018  383.22736   -7.770888],[339.5656   383.22736   -3.453728],[336.47388   387.34964    -4.3171597],[337.50446    383.22736     -0.86343193],[333.38217    385.28848     -0.86343193],[342.65732  383.22736   -5.180592],[341.62674  389.41077   -6.907456],[331.321      381.1662      -0.86343193],[336.47388    381.1662      -0.86343193],[359.14645 372.92163 -12.95148],[366.36047  373.9522   -10.361184],[371.51334  376.01334   -7.770888],[377.69678    379.10504     -0.86343193],[374.60504   379.10504    -1.7268639],[367.39105  379.10504   -6.044024],[363.26874  379.10504   -7.770888],[358.1159  380.13562  -8.63432],[360.17703  389.41077   -9.497752],[359.14645 382.19678  -8.63432],[368.42163  381.1662    -5.180592],[371.51334  384.25793   -6.044024],[371.51334  380.13562   -3.453728],[374.60504  382.19678   -3.453728],[364.29932  381.1662    -6.907456],[366.36047 387.34964  -8.63432],[375.63562   377.04388    -4.3171597],[371.51334  379.10504   -3.453728]
