0, 13, 14, 17, 37, 39, 40, 61, 78, 80, 81, 82, 84, 87, 88, 91, 95, 146, 178, 181, 185, 191, 267, 269, 270, 291, 308, 310, 311, 312, 314, 317, 318, 321, 324, 375, 402, 405, 409, 415
[328.79242 345.05966 -17.26864],[329.56067  353.24805  -13.814912],[329.2796  359.0567  -12.95148],[328.77368  369.51233  -14.678344],[320.71646  343.50446  -15.541776],[313.57742 346.6524  -12.95148],[308.70563  351.07446   -9.497752],[303.7214    357.82004    -2.5902958],[308.42456   356.88315    -4.3171597],[314.4019  353.67902  -8.63432],[317.9433   352.6859   -10.361184],[323.75198 352.96698 -12.95148],[320.69772  367.95712  -13.814912],[323.47092  358.77567  -12.088048],[314.17703  358.32596   -7.770888],[309.30524  362.74805   -9.497752],[310.74805  356.99557   -5.180592],[305.93243  360.25592   -5.180592],[317.71844  357.33286  -10.361184],[313.78354  366.4581   -11.224616],[305.10797  353.2293    -6.044024],[310.86047  354.67212   -6.044024],[336.98077  344.29144  -16.405209],[345.0005   347.0084   -14.678344],[350.58432  351.9364   -11.224616],[356.11194  358.02615   -5.180592],[352.68292  356.69577   -6.044024],[344.6632   353.97882  -10.361184],[340.0163   353.75397  -12.088048],[335.36932 353.5291  -12.95148],[336.96204  368.74408  -14.678344],[335.14447  358.17603  -12.088048],[345.6001   358.68195   -9.497752],[350.02222  363.55377  -10.361184],[349.1415   357.68887   -7.770888],[353.67603  360.23718   -7.770888],[340.9532   358.4571   -11.224616],[344.04486 366.7579  -12.95148],[353.9571   354.42853   -7.770888],[349.25394  355.3654    -7.770888]
[325.87872  344.03253  -16.405209],[325.87872 351.4527  -12.95148],[325.87872 356.3994  -12.95148],[325.87872  366.2929   -14.678344],[317.22192  342.79587  -15.541776],[309.8018   346.50592  -12.088048],[304.85504 350.216    -8.63432],[301.145     356.3994     -1.7268639],[304.85504  355.16275   -3.453728],[311.03848  352.68936   -7.770888],[314.74854  352.68936  -10.361184],[319.69528  351.4527   -12.088048],[318.4586   366.2929   -13.814912],[319.69528  355.16275  -12.088048],[311.03848  355.16275   -7.770888],[306.09174 361.3462   -8.63432],[308.5651   355.16275   -5.180592],[303.61835  357.6361    -5.180592],[314.74854  355.16275   -9.497752],[311.03848  363.81955  -12.088048],[302.38165  352.68936   -5.180592],[308.5651   353.92606   -5.180592],[333.29883  342.79587  -16.405209],[343.19232  346.50592  -14.678344],[348.1391   350.216    -12.088048],[354.32248  356.3994    -6.044024],[351.84912  356.3994    -6.907456],[343.19232  353.92606  -10.361184],[338.24557  352.68936  -12.088048],[332.06213 351.4527  -12.95148],[334.53552  366.2929   -15.541776],[333.29883 356.3994  -12.95148],[344.42902  356.3994   -10.361184],[348.1391   361.3462   -12.088048],[348.1391  356.3994   -8.63432],[351.84912 358.8728   -8.63432],[338.24557  356.3994   -12.088048],[341.95563  363.81955  -13.814912],[353.08582  353.92606   -9.497752],[346.9024  353.92606  -8.63432]
[328.3802  343.56067 -17.26864],[327.9867   352.21747  -13.814912],[328.99854 357.2204  -12.95148],[328.4926   368.3506   -14.678344],[319.7234   343.16718  -15.541776],[312.1346  346.53998 -12.95148],[307.01923  350.02518   -9.497752],[302.97192   357.27664    -2.5902958],[306.73816   356.2086     -4.3171597],[313.09024 352.7796   -8.63432],[316.8003   352.94824  -10.361184],[321.80325 351.9364  -12.95148],[319.83582  367.95712  -13.814912],[322.8151   356.93936  -12.088048],[312.92163  356.48965   -7.770888],[307.6938   362.44824   -9.497752],[309.21155  356.321     -5.180592],[304.15237  358.56955   -6.044024],[316.63165  356.6583   -10.361184],[313.7648   365.2027   -12.088048],[303.14053  353.5666    -6.044024],[309.32397  353.84766   -6.044024],[335.8565   342.66125  -16.405209],[345.5814   346.821    -14.678344],[350.3595   350.75592  -12.088048],[357.49854  357.27667   -5.180592],[353.84467  355.87134   -6.907456],[345.30032  353.00446  -10.361184],[340.35358  352.7796   -12.088048],[334.17014  352.49854  -13.814912],[337.20563  367.5074   -14.678344],[335.18195 357.50146 -12.95148],[346.36835  356.77075   -9.497752],[349.85358  361.8861   -11.224616],[350.07843  356.9394    -7.770888],[353.67603  359.58136   -7.770888],[341.42163  356.5459   -11.224616],[344.7382  365.37134 -12.95148],[355.1938  353.45416  -8.63432],[348.95416  354.4098    -7.770888]
[329.95413 345.11588 -17.26864],[329.56067  353.24805  -13.814912],[329.2796  359.0567  -12.95148],[329.87918  370.7303   -14.678344],[321.822    344.7224   -15.541776],[313.5212  347.81412 -12.95148],[308.70563  351.07446   -9.497752],[304.88312   357.87625    -2.5902958],[308.42456   356.88315    -4.3171597],[314.34567 354.84076  -8.63432],[319.04883  353.90387  -11.224616],[323.75198 352.96698 -12.95148],[321.80325  369.17505  -13.814912],[323.47092  358.77567  -12.088048],[314.17703  358.32596   -7.770888],[309.24902  363.9098    -9.497752],[311.85355  358.21353   -5.180592],[307.09418  360.31213   -5.180592],[317.66223  358.4946   -10.361184],[314.94525  366.5143   -11.224616],[306.2135   354.44727   -6.044024],[311.96597  355.89008   -6.044024],[336.98077  344.29144  -16.405209],[346.10602  348.22635  -14.678344],[350.58432  351.9364   -11.224616],[356.05573   359.18787    -4.3171597],[352.6267   357.8575    -6.044024],[345.76874  355.19675  -10.361184],[341.17804  353.81018  -12.088048],[335.36932 353.5291  -12.95148],[338.06757  369.96204  -14.678344],[336.25     359.39398  -12.088048],[346.76184  358.73816   -9.497752],[350.02222  363.55377  -10.361184],[349.0853   358.8506    -6.907456],[353.6198   361.39893   -7.770888],[342.0587   359.67505  -11.224616],[345.1504  367.97583 -12.95148],[353.90088  355.59024   -7.770888],[349.19772  356.52713   -7.770888]
[329.89792  346.27762  -16.405209],[329.50446 354.40976 -12.95148],[329.2234   360.21844  -12.088048],[328.66125  371.83582  -13.814912],[321.76578  345.88416  -15.541776],[313.465   348.97583 -12.95148],[309.81116  352.29242   -9.497752],[304.8269    359.038      -1.7268639],[308.36835  358.0449    -3.453728],[315.5074   354.89697   -7.770888],[318.9926   355.0656   -10.361184],[323.69577  354.12872  -12.088048],[321.74704 370.3368  -12.95148],[323.4147   359.9374   -11.224616],[314.12082  359.4877    -7.770888],[310.41077 363.966    -8.63432],[311.79733  359.37527   -5.180592],[307.03796  361.47388   -5.180592],[318.76776  359.71255   -9.497752],[314.88904  367.67606  -11.224616],[306.1573   355.609     -5.180592],[311.96597  355.89008   -5.180592],[336.92456  345.45316  -16.405209],[346.0498   349.38806  -14.678344],[350.5281   353.09814  -11.224616],[355.9995    360.3496     -4.3171597],[352.5705   359.01923   -6.044024],[345.71252  356.3585    -9.497752],[341.12183  354.9719   -12.088048],[335.3131  354.69083 -12.95148],[336.8496   371.06757  -13.814912],[336.1938   360.55573  -12.088048],[346.70563 359.8999   -8.63432],[349.966    364.71548  -10.361184],[349.02908  360.01233   -6.907456],[353.5636   362.56067   -6.907456],[342.00247  360.8368   -10.361184],[343.93243  369.08136  -12.088048],[353.84467  356.75198   -7.770888],[349.19772  356.52713   -7.770888]
[329.62625 346.88266 -17.26864],[329.62625  354.49017  -13.814912],[328.53946  361.01086  -13.814912],[328.53946  370.79193  -15.541776],[322.01874  345.7959   -16.405209],[313.32446  349.0562   -13.814912],[308.97733  352.3166   -10.361184],[304.6302   357.75052   -3.453728],[307.89053   357.75052    -4.3171597],[314.41125  354.49017   -9.497752],[318.7584   354.49017  -11.224616],[323.10553  354.49017  -13.814912],[320.93198  369.70514  -14.678344],[323.10553 359.92407 -12.95148],[313.32446 358.8373   -8.63432],[308.97733  364.27124  -10.361184],[311.1509   358.8373    -6.044024],[305.71698  361.01086   -6.044024],[317.6716   359.92407  -10.361184],[314.41125 367.53156 -12.95148],[305.71698  354.49017   -6.907456],[311.1509   355.57697   -6.907456],[337.23373 345.7959  -17.26864],[344.84125  350.143    -14.678344],[349.18835  353.40338  -11.224616],[355.7091   359.92407   -5.180592],[351.36194  358.8373    -6.044024],[344.84125  356.66373  -10.361184],[340.4941   355.57697  -12.088048],[335.06018  354.49017  -13.814912],[336.14697  369.70514  -15.541776],[335.06018 361.01086 -12.95148],[345.92804  359.92407   -9.497752],[349.18835  365.35803  -11.224616],[348.10156  359.92407   -7.770888],[352.44873  362.09766   -7.770888],[340.4941   359.92407  -11.224616],[343.75446  368.61835  -13.814912],[353.53552  356.66373   -7.770888],[348.10156  356.66373   -7.770888]
[329.13907  348.34418  -16.405209],[329.13907 356.47632 -12.95148],[329.13907  362.28503  -12.088048],[329.13907  372.74063  -13.814912],[321.0069   347.18243  -15.541776],[314.0365   350.66766  -12.088048],[309.38956  354.1529    -9.497752],[304.7426    359.96155    -1.7268639],[308.2278   359.96155   -3.453728],[314.0365   356.47632   -7.770888],[318.68344  356.47632  -10.361184],[323.33038  356.47632  -12.088048],[321.0069  371.5789  -12.95148],[323.33038  362.28503  -11.224616],[314.0365   361.1233    -6.907456],[309.38956 365.7702   -8.63432],[311.713    359.96155   -5.180592],[305.90436  362.28503   -5.180592],[317.5217   361.1233    -9.497752],[314.0365   369.25543  -11.224616],[305.90436  356.47632   -5.180592],[311.713    357.63806   -5.180592],[337.2712   347.18243  -15.541776],[345.40338  350.66766  -13.814912],[350.0503   355.3146   -10.361184],[355.85898  361.1233    -3.453728],[352.37378  359.96155   -5.180592],[345.40338 357.63806  -8.63432],[340.7564   356.47632  -11.224616],[334.94775  356.47632  -12.088048],[337.2712   371.5789   -13.814912],[336.1095   362.28503  -11.224616],[346.5651  361.1233   -8.63432],[350.0503   365.7702    -9.497752],[350.0503   361.1233    -6.044024],[353.53552  363.44678   -6.044024],[341.91815  361.1233   -10.361184],[344.24164  369.25543  -12.088048],[354.69724  357.63806   -6.907456],[348.88855  358.7998    -6.907456]
[328.53946  350.143    -16.405209],[328.53946 357.75052 -12.95148],[328.53946  363.18445  -12.088048],[328.53946  372.9655   -13.814912],[320.93198  349.0562   -15.541776],[313.32446  352.3166   -12.088048],[308.97733 354.49017  -8.63432],[303.5434     359.92407     -0.86343193],[306.80377   359.92407    -1.7268639],[313.32446  357.75052   -6.907456],[317.6716   357.75052   -9.497752],[323.10553  357.75052  -12.088048],[320.93198 372.9655  -12.95148],[323.10553  362.09766  -11.224616],[313.32446  361.01086   -6.907456],[308.97733  366.44476   -7.770888],[310.06412  361.01086   -3.453728],[305.71698  363.18445   -3.453728],[317.6716  362.09766  -8.63432],[313.32446  369.70514  -10.361184],[304.6302    356.66373    -4.3171597],[311.1509    357.75052    -4.3171597],[336.14697  349.0562   -15.541776],[344.84125  352.3166   -13.814912],[349.18835  355.57697  -10.361184],[355.7091   361.01086   -3.453728],[352.44873   359.92407    -4.3171597],[344.84125 357.75052  -8.63432],[340.4941   357.75052  -11.224616],[335.06018  357.75052  -12.088048],[336.14697  372.9655   -13.814912],[335.06018  363.18445  -11.224616],[345.92804 362.09766  -8.63432],[349.18835  366.44476   -9.497752],[349.18835  362.09766   -6.044024],[353.53552  364.27124   -6.044024],[341.58087  362.09766  -10.361184],[343.75446  369.70514  -12.088048],[353.53552  357.75052   -6.907456],[349.18835  358.8373    -6.044024]
[326.3659   352.7959   -15.541776],[326.3659   359.3166   -12.088048],[326.3659   364.75052  -11.224616],[326.3659  375.61835 -12.95148],[318.7584   351.7091   -14.678344],[311.1509   353.88266  -12.088048],[307.89053 357.143    -8.63432],[302.4566     362.57697     -0.86343193],[306.80377   362.57697    -1.7268639],[312.23767  360.40338   -6.907456],[316.58484  359.3166    -9.497752],[320.93198  359.3166   -11.224616],[318.7584   374.53156  -12.088048],[320.93198  364.75052  -10.361184],[312.23767  363.66373   -6.044024],[307.89053  368.01086   -7.770888],[308.97733  362.57697   -3.453728],[304.6302   365.8373    -3.453728],[315.49805 363.66373  -8.63432],[312.23767  372.35803  -10.361184],[304.6302    359.3166     -4.3171597],[310.06412   360.40338    -4.3171597],[333.9734   351.7091   -15.541776],[342.66766  353.88266  -13.814912],[347.01483  358.2298   -10.361184],[353.53552  363.66373   -3.453728],[350.27515   362.57697    -4.3171597],[341.58087 360.40338  -8.63432],[338.32053  360.40338  -10.361184],[332.8866   359.3166   -12.088048],[333.9734  374.53156 -12.95148],[332.8866   364.75052  -11.224616],[343.75446  364.75052   -7.770888],[347.01483  369.09766   -9.497752],[347.01483  363.66373   -6.044024],[350.27515  365.8373    -6.044024],[338.32053  364.75052   -9.497752],[341.58087  372.35803  -11.224616],[351.36194  360.40338   -6.907456],[345.92804  361.49017   -6.044024]
[328.27762  352.2283   -15.541776],[327.94034  359.19873  -12.088048],[327.65927  365.0074   -11.224616],[328.25888  376.68097  -12.088048],[320.2017   350.6731   -14.678344],[313.06262  353.82104  -12.088048],[308.24704 357.08136  -8.63432],[303.31903    362.66522     -0.86343193],[306.80426   362.83386    -2.5902958],[313.9433   359.6859    -6.907456],[317.4285   359.85455   -9.497752],[323.2934   358.97388  -11.224616],[320.18292  375.12573  -12.088048],[321.8506   364.72632  -10.361184],[312.5567   364.27664   -6.044024],[308.84665  368.75494   -6.907456],[310.28946  363.0025    -3.453728],[305.47388  366.26285   -3.453728],[317.20364 364.5015   -8.63432],[313.32495  372.46503   -9.497752],[304.5932    360.39795    -4.3171597],[310.4019    360.67902    -4.3171597],[336.466    351.46008  -15.541776],[344.4857  354.17703 -12.95148],[348.964    357.8871    -9.497752],[354.49164   363.97684    -2.5902958],[351.06262   362.64645    -4.3171597],[344.1484   361.14746   -7.770888],[339.55768  359.76086  -10.361184],[333.74902  359.4798   -12.088048],[336.44727  375.91272  -12.088048],[334.6297   365.34467  -10.361184],[345.1415   364.68887   -7.770888],[348.40186 369.50446  -8.63432],[347.52118  363.63956   -5.180592],[352.05573  366.18787   -5.180592],[340.49457  364.46402   -9.497752],[343.5863   372.7648   -10.361184],[352.3368   360.3792    -6.044024],[347.6336   361.3161    -6.044024]
